student_id,name,week,lecture_present,lecture_total,practical_present,practical_total,assignments_submitted,assignments_total,internal_marks,external_marks,practical_marks
1,Rahul Sharma,1,3,4,2,2,2,3,18,0,0
2,Priya Patel,1,4,4,2,2,3,3,22,0,0
3,Amit Kumar,1,3,4,1,2,2,3,15,0,0
4,Sneha Desai,1,4,4,2,2,3,3,24,0,0
5,Vikram Singh,1,2,4,1,2,1,3,12,0,0
6,Anjali Mehta,1,4,4,2,2,3,3,23,0,0
7,Rohan Verma,1,3,4,2,2,2,3,19,0,0
8,Kavita Nair,1,4,4,2,2,3,3,21,0,0
9,Arjun Reddy,1,3,4,1,2,2,3,16,0,0
10,Neha Gupta,1,4,4,2,2,3,3,25,0,0
1,Rahul Sharma,2,3,4,2,2,3,3,20,0,0
2,Priya Patel,2,4,4,2,2,3,3,23,0,0
3,Amit Kumar,2,2,4,2,2,2,3,14,0,0
4,Sneha Desai,2,4,4,2,2,3,3,25,0,0
5,Vikram Singh,2,3,4,1,2,2,3,15,0,0
6,Anjali Mehta,2,4,4,2,2,3,3,24,0,0
7,Rohan Verma,2,4,4,2,2,3,3,21,0,0
8,Kavita Nair,2,3,4,2,2,2,3,19,0,0
9,Arjun Reddy,2,3,4,2,2,3,3,18,0,0
10,Neha Gupta,2,4,4,2,2,3,3,26,0,0
1,Rahul Sharma,3,4,4,2,2,3,3,22,0,0
2,Priya Patel,3,4,4,2,2,3,3,24,0,0
3,Amit Kumar,3,3,4,2,2,2,3,17,0,0
4,Sneha Desai,3,4,4,2,2,3,3,26,0,0
5,Vikram Singh,3,3,4,2,2,2,3,16,0,0
6,Anjali Mehta,3,4,4,2,2,3,3,25,0,0
7,Rohan Verma,3,4,4,2,2,3,3,22,0,0
8,Kavita Nair,3,4,4,2,2,3,3,23,0,0
9,Arjun Reddy,3,4,4,2,2,3,3,20,0,0
10,Neha Gupta,3,4,4,2,2,3,3,27,0,0
1,Rahul Sharma,4,4,4,2,2,3,3,23,72,18
2,Priya Patel,4,4,4,2,2,3,3,25,85,20
3,Amit Kumar,4,3,4,2,2,3,3,18,58,14
4,Sneha Desai,4,4,4,2,2,3,3,27,88,22
5,Vikram Singh,4,3,4,1,2,2,3,14,48,12
6,Anjali Mehta,4,4,4,2,2,3,3,26,82,20
7,Rohan Verma,4,4,4,2,2,3,3,23,75,19
8,Kavita Nair,4,4,4,2,2,3,3,24,78,19
9,Arjun Reddy,4,4,4,2,2,3,3,21,68,17
10,Neha Gupta,4,4,4,2,2,3,3,28,92,23
