name,student_id,password
Student Year1_A1 1,1001,1234
Student Year1_A1 2,1002,1234
Student Year1_A1 3,1003,1234
Student Year1_A1 4,1004,1234
Student Year1_A1 5,1005,1234
Student Year1_A1 6,1006,1234
Student Year1_A1 7,1007,1234
Student Year1_A1 8,1008,1234
Student Year1_A1 9,1009,1234
Student Year1_A1 10,1010,1234
Student Year1_A1 11,1011,1234
Student Year1_A1 12,1012,1234
Student Year1_A1 13,1013,1234
Student Year1_A1 14,1014,1234
Student Year1_A1 15,1015,1234
Student Year1_A1 16,1016,1234
Student Year1_A1 17,1017,1234
Student Year1_A1 18,1018,1234
Student Year1_A1 19,1019,1234
Student Year1_A1 20,1020,1234
