name,student_id,password
Rohan Verma,1001,1234
Aarav Malhotra,1002,1234
Aryan Gupta,1003,1234
Sai Verma,1004,1234
Siddharth Reddy,1005,1234
Aditya Patel,1006,1234
Myra Sharma,1007,1234
Aarav Verma,1008,1234
Krishna Gupta,1009,1234
Aavya Patel,1010,1234
Aarav Reddy,1011,1234
Krishna Reddy,1012,1234
Myra Gupta,1013,1234
Prisha Patel,1014,1234
Shaurya Sharma,1015,1234
Sneha Singh,1016,1234
Rahul Khan,1017,1234
Diya Malhotra,1018,1234
Sai Gupta,1019,1234
Sneha Kapoor,1020,1234
Arjun Verma,1021,1234
Ira Verma,1022,1234
Saanvi Kapoor,1023,1234
Vivaan Malhotra,1024,1234
Neha Sharma,1025,1234
Priya Iyer,1026,1234
Anvi Verma,1027,1234
Tanvi Khan,1028,1234
Aditya Reddy,1029,1234
Ananya Patel,1030,1234
Simran Kapoor,1031,1234
Kabir Gupta,1032,1234
Rahul Verma,1033,1234
Vihaan Gupta,1034,1234
Sneha Malhotra,1035,1234
Aditya Gupta,1036,1234
Karan Verma,1037,1234
Ira Malhotra,1038,1234
Prisha Kapoor,1039,1234
Ishaan Kapoor,1040,1234
Saanvi Gupta,1041,1234
Siddharth Malhotra,1042,1234
Rahul Verma,1043,1234
Vivaan Singh,1044,1234
Anvi Gupta,1045,1234
Ishaan Iyer,1046,1234
Ira Malhotra,1047,1234
Tanvi Reddy,1048,1234
Aryan Kapoor,1049,1234
Vikram Sharma,1050,1234
Aryan Sharma,1051,1234
Neha Kapoor,1052,1234
Ira Malhotra,1053,1234
Aditya Gupta,1054,1234
Tanvi Patel,1055,1234
Simran Kapoor,1056,1234
Krishna Iyer,1057,1234
Ira Iyer,1058,1234
Sai Malhotra,1059,1234
Sai Gupta,1060,1234
Priya Reddy,1061,1234
Anvi Malhotra,1062,1234
Priya Patel,1063,1234
Myra Patel,1064,1234
Ira Kapoor,1065,1234
Aryan Singh,1066,1234
Aavya Iyer,1067,1234
Aditya Sharma,1068,1234
Karan Verma,1069,1234
Sai Singh,1070,1234
Neha Khan,1071,1234
Vivaan Verma,1072,1234
Ira Khan,1073,1234
Vivaan Iyer,1074,1234
Aavya Malhotra,1075,1234
Anvi Sharma,1076,1234
Siddharth Verma,1077,1234
Siddharth Reddy,1078,1234
Sneha Malhotra,1079,1234
Sneha Kapoor,1080,1234
Arjun Malhotra,1081,1234
Myra Singh,1082,1234
Prisha Sharma,1083,1234
Priya Malhotra,1084,1234
Aavya Singh,1085,1234
Aavya Verma,1086,1234
Karan Malhotra,1087,1234
Vikram Reddy,1088,1234
Vivaan Gupta,1089,1234
Sai Kapoor,1090,1234
Sneha Singh,1091,1234
Anvi Reddy,1092,1234
Tanvi Sharma,1093,1234
Vivaan Kapoor,1094,1234
Riya Sharma,1095,1234
Arjun Kapoor,1096,1234
Simran Malhotra,1097,1234
Aryan Sharma,1098,1234
Aryan Patel,1099,1234
Aditya Verma,1100,1234
