name,student_id,password
Rohan Verma,1001,1234
Aryan Singh,1002,1234
Neha Patel,1003,1234
Simran Kaur,1004,1234
Arjun Mehta,1005,1234
Siddharth Reddy,1006,1234
Priya Nair,1007,1234
Karan Malhotra,1008,1234
Ananya Desai,1009,1234
Rahul Sharma,1010,1234
Meera Joshi,1011,1234
Rohan Verma,1001,1234
Aryan Singh,1002,1234
Neha Patel,1003,1234
Simran Kaur,1004,1234
Arjun Mehta,1005,1234
Siddharth Reddy,1006,1234
Priya Nair,1007,1234
Karan Malhotra,1008,1234
Ananya Desai,1009,1234
Rahul Sharma,1010,1234
Meera Joshi,1011,1234
