student_id,name,week,lecture_present,lecture_total,practical_present,practical_total,assignments_submitted,assignments_total,internal_marks,external_marks,practical_marks
1001,Rohan Verma,1,3,5,2,5,1,3,11,38,16
1002,Aryan Singh,1,4,5,4,5,3,3,15,50,19
1003,Neha Patel,1,4,4,2,4,2,2,12,35,15
1004,Simran Kaur,1,5,5,4,5,3,3,17,60,21
1005,Arjun Mehta,1,2,4,1,4,1,2,9,27,12
1006,Siddharth Reddy,1,3,5,2,5,1,3,12,40,17
1007,Priya Nair,1,4,5,4,5,3,3,16,52,20
1008,Karan Malhotra,1,3,4,2,4,2,2,11,34,15
1009,Ananya Desai,1,5,5,4,5,3,3,18,65,22
1010,Rahul Sharma,1,3,4,2,4,2,2,10,30,14
1011,Meera Joshi,1,4,5,3,5,2,3,14,45,19
1001,Rohan Verma,2,4,5,3,5,2,3,12,42,17
1002,Aryan Singh,2,5,5,5,5,3,3,18,63,22
1003,Neha Patel,2,3,4,3,4,2,2,13,39,16
1004,Simran Kaur,2,5,5,4,5,3,3,18,68,22
1005,Arjun Mehta,2,3,4,2,4,2,2,10,30,13
1006,Siddharth Reddy,2,4,5,3,5,2,3,13,43,18
1007,Priya Nair,2,5,5,5,5,3,3,19,66,23
1008,Karan Malhotra,2,3,4,3,4,2,2,12,37,16
1009,Ananya Desai,2,5,5,4,5,3,3,19,70,23
1010,Rahul Sharma,2,3,4,2,4,2,2,11,32,15
1011,Meera Joshi,2,4,5,3,5,2,3,15,47,20
