student_id,name,week,lecture_present,lecture_total,practical_present,practical_total,assignments_submitted,assignments_total,internal_marks,external_marks,practical_marks
1001,Rohan Verma,1,4,5,3,5,2,3,12,41,20
1002,Aryan Singh,1,5,5,4,5,3,3,16,57,21
1003,Neha Patel,1,3,4,2,4,1,2,11,33,14
1004,Simran Kaur,1,4,4,3,4,2,2,15,50,19
1005,Arjun Mehta,1,2,4,1,4,1,2,8,26,12
1006,Siddharth Reddy,1,4,5,3,5,2,3,13,43,19
1007,Priya Nair,1,5,5,4,5,3,3,17,59,22
1008,Karan Malhotra,1,3,4,2,4,1,2,12,35,15
1009,Ananya Desai,1,4,4,3,4,2,2,16,52,20
1010,Rahul Sharma,1,3,4,2,4,2,2,9,29,13
1011,Meera Joshi,1,4,5,3,5,2,3,14,46,20
1001,Rohan Verma,2,4,5,4,5,3,3,13,44,21
1002,Aryan Singh,2,5,5,5,5,3,3,17,60,22
1003,Neha Patel,2,3,4,3,4,2,2,12,37,16
1004,Simran Kaur,2,4,4,3,4,2,2,16,53,20
1005,Arjun Mehta,2,3,4,2,4,2,2,9,29,13
1006,Siddharth Reddy,2,4,5,4,5,3,3,14,45,20
1007,Priya Nair,2,5,5,5,5,3,3,18,62,23
1008,Karan Malhotra,2,3,4,3,4,2,2,13,39,17
1009,Ananya Desai,2,4,4,3,4,2,2,17,55,21
1010,Rahul Sharma,2,3,4,2,4,2,2,10,31,14
1011,Meera Joshi,2,4,5,4,5,3,3,15,48,21
