student_id,name,week,lecture_present,lecture_total,practical_present,practical_total,assignments_submitted,assignments_total,internal_marks,external_marks,practical_marks
1001,Rohan Verma,1,4,5,3,5,2,3,12,40,18
1002,Aryan Singh,1,5,5,4,5,3,3,16,55,20
1003,Neha Patel,1,3,4,2,4,1,2,10,32,14
1004,Simran Kaur,1,4,4,3,4,2,2,14,48,19
1005,Arjun Mehta,1,2,4,1,4,1,2,8,25,12
1006,Siddharth Reddy,1,4,5,3,5,2,3,13,42,18
1007,Priya Nair,1,5,5,4,5,3,3,17,58,21
1008,Karan Malhotra,1,3,4,2,4,1,2,11,34,15
1009,Ananya Desai,1,4,4,3,4,2,2,15,50,19
1010,Rahul Sharma,1,3,4,2,4,2,2,9,28,13
1011,Meera Joshi,1,4,5,3,5,2,3,14,45,19
1001,Rohan Verma,2,4,5,4,5,3,3,13,44,19
1002,Aryan Singh,2,5,5,5,5,3,3,17,58,21
1003,Neha Patel,2,3,4,3,4,2,2,11,36,15
1004,Simran Kaur,2,4,4,3,4,2,2,15,52,20
1005,Arjun Mehta,2,3,4,2,4,2,2,9,28,13
1006,Siddharth Reddy,2,4,5,4,5,3,3,14,46,19
1007,Priya Nair,2,5,5,5,5,3,3,18,60,22
1008,Karan Malhotra,2,3,4,3,4,2,2,12,38,16
1009,Ananya Desai,2,4,4,3,4,2,2,16,54,20
1010,Rahul Sharma,2,3,4,2,4,2,2,10,30,14
1011,Meera Joshi,2,4,5,4,5,3,3,15,47,20
