student_id,name,week,lecture_present,lecture_total,practical_present,practical_total,assignments_submitted,assignments_total,internal_marks,external_marks,practical_marks
1001,Student Year1_A1 1,3,4,10,2,5,1,1,20,36,18
1002,Student Year1_A1 2,3,4,10,3,5,0,1,17,38,11
1003,Student Year1_A1 3,3,5,10,3,5,0,1,15,60,13
1004,Student Year1_A1 4,3,7,10,5,5,1,1,17,70,20
1005,Student Year1_A1 5,3,3,10,4,5,0,1,14,50,24
1006,Student Year1_A1 6,3,9,10,2,5,1,1,10,53,20
1007,Student Year1_A1 7,3,6,10,4,5,1,1,11,45,20
1008,Student Year1_A1 8,3,10,10,2,5,1,1,16,70,23
1009,Student Year1_A1 9,3,9,10,2,5,0,1,18,73,11
1010,Student Year1_A1 10,3,8,10,2,5,1,1,19,70,13
1011,Student Year1_A1 11,3,4,10,5,5,1,1,19,48,15
1012,Student Year1_A1 12,3,5,10,3,5,0,1,17,69,23
1013,Student Year1_A1 13,3,3,10,2,5,0,1,17,68,15
1014,Student Year1_A1 14,3,9,10,2,5,0,1,11,73,18
1015,Student Year1_A1 15,3,8,10,1,5,1,1,19,67,23
1016,Student Year1_A1 16,3,10,10,1,5,1,1,18,74,16
1017,Student Year1_A1 17,3,5,10,3,5,0,1,11,69,17
1018,Student Year1_A1 18,3,6,10,4,5,0,1,15,65,21
1019,Student Year1_A1 19,3,10,10,2,5,0,1,13,48,20
1020,Student Year1_A1 20,3,3,10,3,5,0,1,15,62,21
