student_id,name,week,lecture_present,lecture_total,practical_present,practical_total,assignments_submitted,assignments_total,internal_marks,external_marks,practical_marks
1001,Student Year1_A1 1,3,3,10,2,5,1,1,16,62,13
1002,Student Year1_A1 2,3,7,10,4,5,0,1,17,63,12
1003,Student Year1_A1 3,3,10,10,1,5,0,1,13,41,15
1004,Student Year1_A1 4,3,6,10,1,5,1,1,11,71,23
1005,Student Year1_A1 5,3,3,10,4,5,0,1,11,68,24
1006,Student Year1_A1 6,3,3,10,3,5,0,1,14,73,19
1007,Student Year1_A1 7,3,8,10,1,5,1,1,12,50,19
1008,Student Year1_A1 8,3,10,10,2,5,0,1,12,45,17
1009,Student Year1_A1 9,3,6,10,2,5,1,1,12,57,14
1010,Student Year1_A1 10,3,7,10,2,5,1,1,11,63,16
1011,Student Year1_A1 11,3,9,10,2,5,1,1,16,57,22
1012,Student Year1_A1 12,3,7,10,2,5,1,1,10,39,25
1013,Student Year1_A1 13,3,8,10,1,5,1,1,20,37,11
1014,Student Year1_A1 14,3,4,10,2,5,0,1,16,55,21
1015,Student Year1_A1 15,3,8,10,1,5,1,1,16,50,25
1016,Student Year1_A1 16,3,8,10,3,5,1,1,12,35,19
1017,Student Year1_A1 17,3,9,10,3,5,0,1,11,60,20
1018,Student Year1_A1 18,3,4,10,3,5,1,1,15,73,12
1019,Student Year1_A1 19,3,3,10,2,5,0,1,19,42,11
1020,Student Year1_A1 20,3,10,10,4,5,0,1,10,52,16
