student_id,name,week,lecture_present,lecture_total,practical_present,practical_total,assignments_submitted,assignments_total,internal_marks,external_marks,practical_marks
1001,Student Year1_A1 1,1,7,10,3,5,0,1,14,63,11
1002,Student Year1_A1 2,1,6,10,1,5,0,1,15,43,25
1003,Student Year1_A1 3,1,9,10,5,5,1,1,15,52,14
1004,Student Year1_A1 4,1,8,10,3,5,1,1,13,39,20
1005,Student Year1_A1 5,1,7,10,3,5,1,1,15,66,17
1006,Student Year1_A1 6,1,10,10,2,5,1,1,20,50,15
1007,Student Year1_A1 7,1,7,10,2,5,0,1,15,56,10
1008,Student Year1_A1 8,1,5,10,5,5,1,1,17,31,10
1009,Student Year1_A1 9,1,7,10,2,5,0,1,17,61,19
1010,Student Year1_A1 10,1,5,10,1,5,1,1,18,67,20
1011,Student Year1_A1 11,1,8,10,2,5,0,1,15,68,25
1012,Student Year1_A1 12,1,6,10,1,5,0,1,16,35,18
1013,Student Year1_A1 13,1,9,10,2,5,1,1,11,41,17
1014,Student Year1_A1 14,1,5,10,4,5,1,1,13,47,22
1015,Student Year1_A1 15,1,10,10,3,5,1,1,20,51,11
1016,Student Year1_A1 16,1,7,10,2,5,0,1,14,66,25
1017,Student Year1_A1 17,1,3,10,4,5,0,1,18,66,15
1018,Student Year1_A1 18,1,10,10,5,5,1,1,11,68,14
1019,Student Year1_A1 19,1,4,10,2,5,0,1,13,73,22
1020,Student Year1_A1 20,1,8,10,1,5,0,1,18,51,10
