student_id,name,week,lecture_present,lecture_total,practical_present,practical_total,assignments_submitted,assignments_total,internal_marks,external_marks,practical_marks
1021,Student Year1_B1 1,3,6,10,3,5,1,1,14,36,18
1022,Student Year1_B1 2,3,6,10,3,5,1,1,18,66,25
1023,Student Year1_B1 3,3,4,10,5,5,0,1,12,46,21
1024,Student Year1_B1 4,3,5,10,4,5,1,1,15,45,24
1025,Student Year1_B1 5,3,9,10,4,5,1,1,11,44,14
1026,Student Year1_B1 6,3,6,10,4,5,0,1,16,40,13
1027,Student Year1_B1 7,3,7,10,2,5,0,1,11,39,12
1028,Student Year1_B1 8,3,8,10,5,5,0,1,12,64,18
1029,Student Year1_B1 9,3,6,10,2,5,1,1,15,60,18
1030,Student Year1_B1 10,3,8,10,3,5,0,1,12,73,13
1031,Student Year1_B1 11,3,8,10,5,5,0,1,20,35,17
1032,Student Year1_B1 12,3,6,10,4,5,1,1,11,46,12
1033,Student Year1_B1 13,3,4,10,2,5,0,1,12,73,10
1034,Student Year1_B1 14,3,6,10,1,5,1,1,17,43,19
1035,Student Year1_B1 15,3,5,10,4,5,1,1,16,41,19
1036,Student Year1_B1 16,3,6,10,5,5,0,1,15,64,22
1037,Student Year1_B1 17,3,5,10,5,5,1,1,12,43,17
1038,Student Year1_B1 18,3,4,10,4,5,0,1,12,39,11
1039,Student Year1_B1 19,3,6,10,5,5,0,1,18,41,15
1040,Student Year1_B1 20,3,5,10,1,5,1,1,12,35,17
