student_id,name,week,lecture_present,lecture_total,practical_present,practical_total,assignments_submitted,assignments_total,internal_marks,external_marks,practical_marks
1021,Student Year1_B1 1,3,5,10,4,5,1,1,11,38,22
1022,Student Year1_B1 2,3,9,10,1,5,1,1,19,31,16
1023,Student Year1_B1 3,3,9,10,2,5,1,1,13,56,22
1024,Student Year1_B1 4,3,8,10,1,5,1,1,16,58,13
1025,Student Year1_B1 5,3,9,10,1,5,1,1,15,70,21
1026,Student Year1_B1 6,3,5,10,1,5,0,1,12,74,25
1027,Student Year1_B1 7,3,6,10,2,5,0,1,19,69,11
1028,Student Year1_B1 8,3,10,10,5,5,0,1,20,43,12
1029,Student Year1_B1 9,3,8,10,4,5,0,1,11,59,22
1030,Student Year1_B1 10,3,7,10,5,5,0,1,16,47,10
1031,Student Year1_B1 11,3,6,10,3,5,1,1,17,43,12
1032,Student Year1_B1 12,3,5,10,2,5,1,1,11,47,22
1033,Student Year1_B1 13,3,8,10,4,5,0,1,17,52,16
1034,Student Year1_B1 14,3,8,10,4,5,0,1,15,72,16
1035,Student Year1_B1 15,3,3,10,2,5,1,1,18,59,15
1036,Student Year1_B1 16,3,7,10,1,5,0,1,17,30,16
1037,Student Year1_B1 17,3,8,10,1,5,0,1,17,56,16
1038,Student Year1_B1 18,3,7,10,3,5,0,1,17,63,11
1039,Student Year1_B1 19,3,8,10,1,5,0,1,11,57,17
1040,Student Year1_B1 20,3,5,10,4,5,1,1,19,38,19
