student_id,name,week,lecture_present,lecture_total,practical_present,practical_total,assignments_submitted,assignments_total,internal_marks,external_marks,practical_marks
1021,Student Year1_B1 1,3,8,10,5,5,1,1,18,71,20
1022,Student Year1_B1 2,3,8,10,2,5,0,1,13,40,15
1023,Student Year1_B1 3,3,9,10,4,5,1,1,17,36,16
1024,Student Year1_B1 4,3,9,10,3,5,1,1,14,48,13
1025,Student Year1_B1 5,3,5,10,1,5,0,1,10,36,19
1026,Student Year1_B1 6,3,5,10,3,5,0,1,13,72,22
1027,Student Year1_B1 7,3,5,10,5,5,1,1,20,49,19
1028,Student Year1_B1 8,3,8,10,4,5,1,1,12,42,25
1029,Student Year1_B1 9,3,3,10,1,5,1,1,16,36,19
1030,Student Year1_B1 10,3,8,10,5,5,1,1,12,58,15
1031,Student Year1_B1 11,3,9,10,4,5,0,1,16,55,16
1032,Student Year1_B1 12,3,9,10,1,5,1,1,10,54,24
1033,Student Year1_B1 13,3,7,10,4,5,1,1,20,64,10
1034,Student Year1_B1 14,3,3,10,4,5,0,1,11,44,17
1035,Student Year1_B1 15,3,4,10,4,5,0,1,13,67,14
1036,Student Year1_B1 16,3,10,10,4,5,0,1,17,31,17
1037,Student Year1_B1 17,3,7,10,5,5,1,1,16,69,12
1038,Student Year1_B1 18,3,3,10,5,5,1,1,20,36,10
1039,Student Year1_B1 19,3,8,10,4,5,1,1,17,57,24
1040,Student Year1_B1 20,3,9,10,4,5,1,1,13,57,25
