student_id,name,week,lecture_present,lecture_total,practical_present,practical_total,assignments_submitted,assignments_total,internal_marks,external_marks,practical_marks
1021,Student Year1_B1 1,1,10,10,1,5,1,1,20,36,16
1022,Student Year1_B1 2,1,7,10,2,5,1,1,16,60,17
1023,Student Year1_B1 3,1,4,10,1,5,1,1,14,59,25
1024,Student Year1_B1 4,1,8,10,3,5,1,1,19,71,12
1025,Student Year1_B1 5,1,10,10,1,5,0,1,13,42,17
1026,Student Year1_B1 6,1,7,10,2,5,1,1,10,59,24
1027,Student Year1_B1 7,1,9,10,1,5,1,1,20,71,12
1028,Student Year1_B1 8,1,10,10,1,5,1,1,11,36,22
1029,Student Year1_B1 9,1,7,10,3,5,0,1,14,34,17
1030,Student Year1_B1 10,1,10,10,2,5,0,1,10,64,16
1031,Student Year1_B1 11,1,9,10,5,5,1,1,17,70,15
1032,Student Year1_B1 12,1,7,10,3,5,0,1,16,35,20
1033,Student Year1_B1 13,1,4,10,5,5,0,1,10,51,16
1034,Student Year1_B1 14,1,10,10,4,5,1,1,20,72,23
1035,Student Year1_B1 15,1,9,10,2,5,1,1,20,31,11
1036,Student Year1_B1 16,1,4,10,4,5,1,1,11,66,24
1037,Student Year1_B1 17,1,8,10,4,5,1,1,15,43,16
1038,Student Year1_B1 18,1,7,10,2,5,1,1,17,62,21
1039,Student Year1_B1 19,1,9,10,4,5,1,1,15,60,19
1040,Student Year1_B1 20,1,3,10,1,5,0,1,18,61,21
