student_id,name,week,lecture_present,lecture_total,practical_present,practical_total,assignments_submitted,assignments_total,internal_marks,external_marks,practical_marks
1021,Student Year1_B1 1,2,6,10,2,5,1,1,12,73,20
1022,Student Year1_B1 2,2,3,10,4,5,1,1,12,54,20
1023,Student Year1_B1 3,2,8,10,1,5,0,1,17,49,12
1024,Student Year1_B1 4,2,10,10,3,5,1,1,11,54,15
1025,Student Year1_B1 5,2,5,10,4,5,1,1,13,51,24
1026,Student Year1_B1 6,2,3,10,5,5,1,1,18,73,23
1027,Student Year1_B1 7,2,6,10,1,5,1,1,18,43,13
1028,Student Year1_B1 8,2,10,10,3,5,1,1,14,51,15
1029,Student Year1_B1 9,2,4,10,2,5,1,1,16,45,18
1030,Student Year1_B1 10,2,10,10,3,5,1,1,12,63,15
1031,Student Year1_B1 11,2,6,10,2,5,1,1,16,58,24
1032,Student Year1_B1 12,2,9,10,5,5,0,1,11,75,15
1033,Student Year1_B1 13,2,3,10,3,5,0,1,10,57,15
1034,Student Year1_B1 14,2,3,10,5,5,1,1,18,64,23
1035,Student Year1_B1 15,2,5,10,4,5,0,1,19,50,12
1036,Student Year1_B1 16,2,8,10,5,5,0,1,14,34,25
1037,Student Year1_B1 17,2,4,10,2,5,1,1,15,66,24
1038,Student Year1_B1 18,2,9,10,2,5,1,1,10,56,15
1039,Student Year1_B1 19,2,5,10,5,5,1,1,14,34,12
1040,Student Year1_B1 20,2,9,10,4,5,1,1,14,55,22
